threads size iterations precision time
5 1024 1373 9.975512e-04 0.008
5 2048 1379 9.991673e-04 0.013
5 4096 1382 9.996832e-04 0.023
5 8192 1384 9.973784e-04 0.042
5 16384 1385 9.962115e-04 0.074
5 32768 1385 9.981108e-04 0.164
5 65536 1385 9.990605e-04 0.316
6 2 10 9.290507e-04 0.000
6 4 32 8.637158e-04 0.000
6 8 101 9.516504e-04 0.000
6 16 303 9.866165e-04 0.001
6 32 702 9.940066e-04 0.002
6 64 1084 9.972884e-04 0.004
6 128 1264 9.987003e-04 0.004
6 256 1331 9.997889e-04 0.005
6 512 1360 9.968687e-04 0.006
6 1024 1373 9.975512e-04 0.008
6 2048 1379 9.991673e-04 0.013
6 4096 1382 9.996832e-04 0.019
6 8192 1384 9.973784e-04 0.034
6 16384 1385 9.962115e-04 0.072
6 32768 1385 9.981108e-04 0.137
6 65536 1385 9.990605e-04 0.269
7 2 10 9.290507e-04 0.000
7 4 32 8.637158e-04 0.000
7 8 101 9.516504e-04 0.001
7 16 303 9.866165e-04 0.012
7 32 702 9.940066e-04 0.003
7 64 1084 9.972884e-04 0.004
7 128 1264 9.987003e-04 0.005
7 256 1331 9.997889e-04 0.005
7 512 1360 9.968687e-04 0.006
7 1024 1373 9.975512e-04 0.008
7 2048 1379 9.991673e-04 0.011
7 4096 1382 9.996832e-04 0.019
7 8192 1384 9.973784e-04 0.033
7 16384 1385 9.962115e-04 0.055
7 32768 1385 9.981108e-04 0.120
7 65536 1385 9.990605e-04 0.230
8 2 10 9.290507e-04 0.000
8 4 32 8.637158e-04 0.000
8 8 101 9.516504e-04 0.001
8 16 303 9.866165e-04 0.002
8 32 702 9.940066e-04 0.003
8 64 1084 9.972884e-04 0.005
8 128 1264 9.987003e-04 0.005
8 256 1331 9.997889e-04 0.006
8 512 1360 9.968687e-04 0.007
8 1024 1373 9.975512e-04 0.008
8 2048 1379 9.991673e-04 0.011
8 4096 1382 9.996832e-04 0.016
8 8192 1384 9.973784e-04 0.027
8 16384 1385 9.962115e-04 0.052
8 32768 1385 9.981108e-04 0.105
8 65536 1385 9.990605e-04 0.197
9 2 10 9.290507e-04 0.013
9 4 32 8.637158e-04 0.000
9 8 101 9.516504e-04 0.001
9 16 303 9.866165e-04 0.003
9 32 702 9.940066e-04 0.005
9 64 1084 9.972884e-04 0.011
9 128 1264 9.987003e-04 0.009
9 256 1331 9.997889e-04 0.013
9 512 1360 9.968687e-04 0.018
9 1024 1373 9.975512e-04 0.012
9 2048 1379 9.991673e-04 0.015
9 4096 1382 9.996832e-04 0.020
9 8192 1384 9.973784e-04 0.031
9 16384 1385 9.962115e-04 0.055
9 32768 1385 9.981108e-04 0.101
9 65536 1385 9.990605e-04 0.189
10 2 10 9.290507e-04 0.013
10 4 32 8.637158e-04 0.013
10 8 101 9.516504e-04 0.001
10 16 303 9.866165e-04 0.003
10 32 702 9.940066e-04 0.006
10 64 1084 9.972884e-04 0.009
10 128 1264 9.987003e-04 0.010
10 256 1331 9.997889e-04 0.011
10 512 1360 9.968687e-04 0.012
10 1024 1373 9.975512e-04 0.014
10 2048 1379 9.991673e-04 0.021
10 4096 1382 9.996832e-04 0.021
10 8192 1384 9.973784e-04 0.030
10 16384 1385 9.962115e-04 0.050
10 32768 1385 9.981108e-04 0.091
10 65536 1385 9.990605e-04 0.177
11 2 10 9.290507e-04 0.000
11 4 32 8.637158e-04 0.001
11 8 101 9.516504e-04 0.001
11 16 303 9.866165e-04 0.003
11 32 702 9.940066e-04 0.007
11 64 1084 9.972884e-04 0.011
11 128 1264 9.987003e-04 0.010
11 256 1331 9.997889e-04 0.012
11 512 1360 9.968687e-04 0.012
11 1024 1373 9.975512e-04 0.017
11 2048 1379 9.991673e-04 0.016
11 4096 1382 9.996832e-04 0.023
11 8192 1384 9.973784e-04 0.028
11 16384 1385 9.962115e-04 0.046
11 32768 1385 9.981108e-04 0.080
11 65536 1385 9.990605e-04 0.157
12 2 10 9.290507e-04 0.000
12 4 32 8.637158e-04 0.001
12 8 101 9.516504e-04 0.001
12 16 303 9.866165e-04 0.003
12 32 702 9.940066e-04 0.007
12 64 1084 9.972884e-04 0.010
12 128 1264 9.987003e-04 0.011
12 256 1331 9.997889e-04 0.013
12 512 1360 9.968687e-04 0.013
12 1024 1373 9.975512e-04 0.014
12 2048 1379 9.991673e-04 0.015
12 4096 1382 9.996832e-04 0.021
12 8192 1384 9.973784e-04 0.028
12 16384 1385 9.962115e-04 0.043
12 32768 1385 9.981108e-04 0.077
12 65536 1385 9.990605e-04 0.152
13 2 10 9.290507e-04 0.000
13 4 32 8.637158e-04 0.001
13 8 101 9.516504e-04 0.001
13 16 303 9.866165e-04 0.003
13 32 702 9.940066e-04 0.007
13 64 1084 9.972884e-04 0.011
13 128 1264 9.987003e-04 0.012
13 256 1331 9.997889e-04 0.015
13 512 1360 9.968687e-04 0.014
13 1024 1373 9.975512e-04 0.015
13 2048 1379 9.991673e-04 0.016
13 4096 1382 9.996832e-04 0.023
13 8192 1384 9.973784e-04 0.028
13 16384 1385 9.962115e-04 0.040
13 32768 1385 9.981108e-04 0.078
13 65536 1385 9.990605e-04 0.136
14 2 10 9.290507e-04 0.000
14 4 32 8.637158e-04 0.001
14 8 101 9.516504e-04 0.001
14 16 303 9.866165e-04 0.004
14 32 702 9.940066e-04 0.007
14 64 1084 9.972884e-04 0.011
14 128 1264 9.987003e-04 0.012
14 256 1331 9.997889e-04 0.015
14 512 1360 9.968687e-04 0.014
14 1024 1373 9.975512e-04 0.018
14 2048 1379 9.991673e-04 0.016
14 4096 1382 9.996832e-04 0.020
14 8192 1384 9.973784e-04 0.030
14 16384 1385 9.962115e-04 0.043
14 32768 1385 9.981108e-04 0.076
14 65536 1385 9.990605e-04 0.127
15 2 10 9.290507e-04 0.000
15 4 32 8.637158e-04 0.001
15 8 101 9.516504e-04 0.001
15 16 303 9.866165e-04 0.004
15 32 702 9.940066e-04 0.010
15 64 1084 9.972884e-04 0.014
15 128 1264 9.987003e-04 0.013
15 256 1331 9.997889e-04 0.013
15 512 1360 9.968687e-04 0.014
15 1024 1373 9.975512e-04 0.017
15 2048 1379 9.991673e-04 0.018
15 4096 1382 9.996832e-04 0.023
15 8192 1384 9.973784e-04 0.028
15 16384 1385 9.962115e-04 0.039
15 32768 1385 9.981108e-04 0.070
15 65536 1385 9.990605e-04 0.126
16 2 10 9.290507e-04 0.000
16 4 32 8.637158e-04 0.002
16 8 101 9.516504e-04 0.002
16 16 303 9.866165e-04 0.005
16 32 702 9.940066e-04 0.008
16 64 1084 9.972884e-04 0.012
16 128 1264 9.987003e-04 0.016
16 256 1331 9.997889e-04 0.017
16 512 1360 9.968687e-04 0.015
16 1024 1373 9.975512e-04 0.016
16 2048 1379 9.991673e-04 0.020
16 4096 1382 9.996832e-04 0.021
16 8192 1384 9.973784e-04 0.026
16 16384 1385 9.962115e-04 0.040
16 32768 1385 9.981108e-04 0.062
16 65536 1385 9.990605e-04 0.119
